year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1977,1978,50,HONORARY AWARD,Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.,,TRUE,1977,,
1977,1978,50,IRVING G. THALBERG MEMORIAL AWARD,Walter Mirisch,,TRUE,1977,,
1978,1979,51,ACTOR IN A LEADING ROLE,Warren Beatty,Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,ACTOR IN A LEADING ROLE,Gary Busey,The Buddy Holly Story,FALSE,1978The Buddy Holly Story,tt0077280,https://www.imdb.com/title/tt0077280/
1978,1979,51,ACTOR IN A LEADING ROLE,Robert De Niro,The Deer Hunter,FALSE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,ACTOR IN A LEADING ROLE,Laurence Olivier,The Boys from Brazil,FALSE,1978The Boys from Brazil,tt0077269,https://www.imdb.com/title/tt0077269/
1978,1979,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,TRUE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,ACTOR IN A SUPPORTING ROLE,Bruce Dern,Coming Home,FALSE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,ACTOR IN A SUPPORTING ROLE,Richard Farnsworth,Comes a Horseman,FALSE,1978Comes a Horseman,tt0077360,https://www.imdb.com/title/tt0077360/
1978,1979,51,ACTOR IN A SUPPORTING ROLE,John Hurt,Midnight Express,FALSE,1978Midnight Express,tt0077928,https://www.imdb.com/title/tt0077928/
1978,1979,51,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,TRUE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,ACTOR IN A SUPPORTING ROLE,Jack Warden,Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,ACTRESS IN A LEADING ROLE,Ingrid Bergman,Autumn Sonata,FALSE,1978Autumn Sonata,tt0077711,https://www.imdb.com/title/tt0077711/
1978,1979,51,ACTRESS IN A LEADING ROLE,Ellen Burstyn,"Same Time, Next Year",FALSE,"1978Same Time, Next Year",tt0078199,https://www.imdb.com/title/tt0078199/
1978,1979,51,ACTRESS IN A LEADING ROLE,Jill Clayburgh,An Unmarried Woman,FALSE,1978An Unmarried Woman,tt0078444,https://www.imdb.com/title/tt0078444/
1978,1979,51,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,TRUE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,ACTRESS IN A LEADING ROLE,Geraldine Page,Interiors,FALSE,1978Interiors,tt0077742,https://www.imdb.com/title/tt0077742/
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Dyan Cannon,Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Penelope Milford,Coming Home,FALSE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite,TRUE,1978California Suite,tt0077289,https://www.imdb.com/title/tt0077289/
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Interiors,FALSE,1978Interiors,tt0077742,https://www.imdb.com/title/tt0077742/
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,The Deer Hunter,FALSE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,ART DIRECTION,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson, Bruce Kay",The Brink's Job,FALSE,1978The Brink's Job,tt0077275,https://www.imdb.com/title/tt0077275/
1978,1979,51,ART DIRECTION,Art Direction:  Albert Brenner;  Set Decoration:  Marvin March,California Suite,FALSE,1978California Suite,tt0077289,https://www.imdb.com/title/tt0077289/
1978,1979,51,ART DIRECTION,"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines",Heaven Can Wait,TRUE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,ART DIRECTION,Art Direction:  Mel Bourne;  Set Decoration:  Daniel Robert,Interiors,FALSE,1978Interiors,tt0077742,https://www.imdb.com/title/tt0077742/
1978,1979,51,ART DIRECTION,"Art Direction:  Tony Walton, Philip Rosenberg;  Set Decoration:  Edward Stewart, Robert Drumheller",The Wiz,FALSE,1978The Wiz,tt0078504,https://www.imdb.com/title/tt0078504/
1978,1979,51,CINEMATOGRAPHY,Nestor Almendros,Days of Heaven,TRUE,1978Days of Heaven,tt0077405,https://www.imdb.com/title/tt0077405/
1978,1979,51,CINEMATOGRAPHY,Vilmos Zsigmond,The Deer Hunter,FALSE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
